id,slug,title,wp_link,status,modified_gmt
35206,bod-meeting-agenda-october-21-2025-700pm,"BOD Meeting Agenda – October 21, 2025 7:00PM",https://www.pristineplace.us/document/bod-meeting-agenda-october-21-2025-700pm/,publish,2025-10-17T19:44:22
34609,bod-meeting-agenda-january-18-2022-700pm,"BOD Meeting Agenda January 18, 2022 7:00PM",https://www.pristineplace.us/document/bod-meeting-agenda-january-18-2022-700pm/,publish,2025-08-28T20:36:37
34608,bod-meeting-agenda-february-15-2022,"BOD Meeting Agenda February 15, 2022",https://www.pristineplace.us/document/bod-meeting-agenda-february-15-2022/,publish,2025-08-28T20:36:50
34607,bod-meeting-agenda-february-26th-2022,BOD Meeting Agenda February 26th 2022,https://www.pristineplace.us/document/bod-meeting-agenda-february-26th-2022/,publish,2025-08-28T20:36:44
34606,bod-meeting-agenda-march-15-2022,"BOD Meeting Agenda March 15, 2022",https://www.pristineplace.us/document/bod-meeting-agenda-march-15-2022/,publish,2025-08-28T20:36:20
34605,bod-meeting-agenda-july-19-2022,"BOD Meeting Agenda July 19, 2022",https://www.pristineplace.us/document/bod-meeting-agenda-july-19-2022/,publish,2025-08-28T20:36:30
34604,bod-meeting-agenda-june-21-2022,"BOD Meeting Agenda June 21, 2022",https://www.pristineplace.us/document/bod-meeting-agenda-june-21-2022/,publish,2025-08-28T20:36:24
34603,bod-emergency-meeting-agenda-for-august-4,BOD Emergency Meeting Agenda for August 4,https://www.pristineplace.us/document/bod-emergency-meeting-agenda-for-august-4/,publish,2025-08-28T20:37:27
34602,bod-meeting-agenda-august-16-2022,"BOD Meeting Agenda August 16, 2022",https://www.pristineplace.us/document/bod-meeting-agenda-august-16-2022/,publish,2025-08-28T20:37:03
34601,bod-meeting-agenda-september-20-2022,"BOD Meeting Agenda September 20, 2022",https://www.pristineplace.us/document/bod-meeting-agenda-september-20-2022/,publish,2025-08-28T20:35:51
34600,bod-meeting-agenda-november-15-2022-7pm,"BOD Meeting Agenda November 15, 2022 @7pm",https://www.pristineplace.us/document/bod-meeting-agenda-november-15-2022-7pm/,publish,2025-08-28T20:36:11
34599,2022-rescheduled-annual-membership-meeting-agenda-11-30-22-7pm,2022 Rescheduled Annual Membership Meeting Agenda  11-30-22 @7Pm,https://www.pristineplace.us/document/2022-rescheduled-annual-membership-meeting-agenda-11-30-22-7pm/,publish,2025-08-28T15:27:41
34598,bod-meeting-agenda-december-13-2022-at-700pm,"BOD Meeting Agenda December 13, 2022 at 7:00pm",https://www.pristineplace.us/document/bod-meeting-agenda-december-13-2022-at-700pm/,publish,2025-08-28T20:39:56
34597,bod-meeting-agenda-for-january-11-2023,"BOD Meeting Agenda for January 11, 2023",https://www.pristineplace.us/document/bod-meeting-agenda-for-january-11-2023/,publish,2025-08-28T20:39:29
34596,bod-meeting-agenda-for-february-21-2023-700-pm,"BOD Meeting Agenda for February 21, 2023 7:00 PM",https://www.pristineplace.us/document/bod-meeting-agenda-for-february-21-2023-700-pm/,publish,2025-08-28T20:39:35
34595,bod-meeting-agenda-for-march-21-2023,"BOD Meeting Agenda for March 21, 2023",https://www.pristineplace.us/document/bod-meeting-agenda-for-march-21-2023/,publish,2025-08-28T20:39:08
